date,session_key,driver_number,meeting_key,position
2025-09-20T08:54:24.998000+00:00,9899,43,1269,17
2025-09-20T08:54:24.998000+00:00,9899,44,1269,14
2025-09-20T08:54:24.998000+00:00,9899,55,1269,12
2025-09-20T08:54:55.672000+00:00,9899,4,1269,2
2025-09-20T08:54:55.672000+00:00,9899,12,1269,3
2025-09-20T08:54:55.672000+00:00,9899,16,1269,1
2025-09-20T08:54:55.672000+00:00,9899,22,1269,6
2025-09-20T08:54:55.672000+00:00,9899,23,1269,7
2025-09-20T08:54:55.672000+00:00,9899,30,1269,4
2025-09-20T08:54:55.672000+00:00,9899,87,1269,5
2025-09-20T08:55:02.689000+00:00,9899,5,1269,17
2025-09-20T08:55:02.689000+00:00,9899,14,1269,12
2025-09-20T08:55:02.689000+00:00,9899,18,1269,11
2025-09-20T08:55:02.689000+00:00,9899,27,1269,14
2025-09-20T08:55:02.689000+00:00,9899,31,1269,16
2025-09-20T08:55:02.689000+00:00,9899,43,1269,18
2025-09-20T08:55:02.689000+00:00,9899,44,1269,15
2025-09-20T08:55:02.689000+00:00,9899,55,1269,13
2025-09-20T08:55:16.878000+00:00,9899,5,1269,18
2025-09-20T08:55:16.878000+00:00,9899,27,1269,15
2025-09-20T08:55:16.878000+00:00,9899,31,1269,17
2025-09-20T08:55:16.878000+00:00,9899,43,1269,13
2025-09-20T08:55:16.878000+00:00,9899,44,1269,16
2025-09-20T08:55:16.878000+00:00,9899,55,1269,14
2025-09-20T08:55:43.318000+00:00,9899,6,1269,10
2025-09-20T08:55:43.318000+00:00,9899,10,1269,11
2025-09-20T08:55:43.318000+00:00,9899,14,1269,13
2025-09-20T08:55:43.318000+00:00,9899,18,1269,12
2025-09-20T08:55:43.318000+00:00,9899,43,1269,14
2025-09-20T08:55:43.318000+00:00,9899,55,1269,9
2025-09-20T08:55:47.470000+00:00,9899,6,1269,11
2025-09-20T08:55:47.470000+00:00,9899,10,1269,12
2025-09-20T08:55:47.470000+00:00,9899,14,1269,14
2025-09-20T08:55:47.470000+00:00,9899,18,1269,13
2025-09-20T08:55:47.470000+00:00,9899,22,1269,7
2025-09-20T08:55:47.470000+00:00,9899,23,1269,8
2025-09-20T08:55:47.470000+00:00,9899,27,1269,4
2025-09-20T08:55:47.470000+00:00,9899,30,1269,5
2025-09-20T08:55:47.470000+00:00,9899,43,1269,15
2025-09-20T08:55:47.470000+00:00,9899,55,1269,10
2025-09-20T08:55:47.470000+00:00,9899,81,1269,9
2025-09-20T08:55:47.470000+00:00,9899,87,1269,6
2025-09-20T08:55:50.971000+00:00,9899,4,1269,3
2025-09-20T08:55:50.971000+00:00,9899,12,1269,4
2025-09-20T08:55:50.971000+00:00,9899,22,1269,8
2025-09-20T08:55:50.971000+00:00,9899,23,1269,2
2025-09-20T08:55:50.971000+00:00,9899,27,1269,5
2025-09-20T08:55:50.971000+00:00,9899,30,1269,6
2025-09-20T08:55:50.971000+00:00,9899,87,1269,7
2025-09-20T08:56:18.702000+00:00,9899,5,1269,19
2025-09-20T08:56:18.702000+00:00,9899,10,1269,13
2025-09-20T08:56:18.702000+00:00,9899,14,1269,15
2025-09-20T08:56:18.702000+00:00,9899,18,1269,14
2025-09-20T08:56:18.702000+00:00,9899,31,1269,18
2025-09-20T08:56:18.702000+00:00,9899,43,1269,16
2025-09-20T08:56:18.702000+00:00,9899,44,1269,17
2025-09-20T08:56:18.702000+00:00,9899,63,1269,12
2025-09-20T08:56:27.064000+00:00,9899,1,1269,2
2025-09-20T08:56:27.064000+00:00,9899,4,1269,4
2025-09-20T08:56:27.064000+00:00,9899,5,1269,20
2025-09-20T08:56:27.064000+00:00,9899,6,1269,12
2025-09-20T08:56:27.064000+00:00,9899,10,1269,14
2025-09-20T08:56:27.064000+00:00,9899,12,1269,5
2025-09-20T08:56:27.064000+00:00,9899,14,1269,16
2025-09-20T08:56:27.064000+00:00,9899,18,1269,15
2025-09-20T08:56:27.064000+00:00,9899,22,1269,9
2025-09-20T08:56:27.064000+00:00,9899,23,1269,3
2025-09-20T08:56:27.064000+00:00,9899,27,1269,6
2025-09-20T08:56:27.064000+00:00,9899,30,1269,7
2025-09-20T08:56:27.064000+00:00,9899,31,1269,19
2025-09-20T08:56:27.064000+00:00,9899,43,1269,17
2025-09-20T08:56:27.064000+00:00,9899,44,1269,18
2025-09-20T08:56:27.064000+00:00,9899,55,1269,11
2025-09-20T08:56:27.064000+00:00,9899,63,1269,13
2025-09-20T08:56:27.064000+00:00,9899,81,1269,10
2025-09-20T08:56:27.064000+00:00,9899,87,1269,8
2025-09-20T08:57:14.655000+00:00,9899,6,1269,13
2025-09-20T08:57:14.655000+00:00,9899,10,1269,15
2025-09-20T08:57:14.655000+00:00,9899,14,1269,10
2025-09-20T08:57:14.655000+00:00,9899,18,1269,16
2025-09-20T08:57:14.655000+00:00,9899,55,1269,12
2025-09-20T08:57:14.655000+00:00,9899,63,1269,14
2025-09-20T08:57:14.655000+00:00,9899,81,1269,11
2025-09-20T08:57:40.116000+00:00,9899,1,1269,3
2025-09-20T08:57:40.116000+00:00,9899,5,1269,19
2025-09-20T08:57:40.116000+00:00,9899,16,1269,2
2025-09-20T08:57:40.116000+00:00,9899,23,1269,20
2025-09-20T08:57:40.116000+00:00,9899,31,1269,18
2025-09-20T08:57:40.116000+00:00,9899,44,1269,1
2025-09-20T08:57:40.211000+00:00,9899,4,1269,5
2025-09-20T08:57:40.211000+00:00,9899,5,1269,20
2025-09-20T08:57:40.211000+00:00,9899,6,1269,14
2025-09-20T08:57:40.211000+00:00,9899,10,1269,16
2025-09-20T08:57:40.211000+00:00,9899,12,1269,6
2025-09-20T08:57:40.211000+00:00,9899,14,1269,11
2025-09-20T08:57:40.211000+00:00,9899,18,1269,17
2025-09-20T08:57:40.211000+00:00,9899,22,1269,10
2025-09-20T08:57:40.211000+00:00,9899,23,1269,4
2025-09-20T08:57:40.211000+00:00,9899,27,1269,7
2025-09-20T08:57:40.211000+00:00,9899,30,1269,8
2025-09-20T08:57:40.211000+00:00,9899,31,1269,19
2025-09-20T08:57:40.211000+00:00,9899,43,1269,18
2025-09-20T08:57:40.211000+00:00,9899,55,1269,13
2025-09-20T08:57:40.211000+00:00,9899,63,1269,15
2025-09-20T08:57:40.211000+00:00,9899,81,1269,12
2025-09-20T08:57:40.211000+00:00,9899,87,1269,9
2025-09-20T08:57:47.359000+00:00,9899,12,1269,7
2025-09-20T08:57:47.359000+00:00,9899,22,1269,6
2025-09-20T08:57:47.359000+00:00,9899,27,1269,8
2025-09-20T08:57:47.359000+00:00,9899,30,1269,9
2025-09-20T08:57:47.359000+00:00,9899,87,1269,10
2025-09-20T08:57:56.945000+00:00,9899,12,1269,8
2025-09-20T08:57:56.945000+00:00,9899,27,1269,9
2025-09-20T08:57:56.945000+00:00,9899,30,1269,7
2025-09-20T08:59:08.656000+00:00,9899,4,1269,6
2025-09-20T08:59:08.656000+00:00,9899,6,1269,4
2025-09-20T08:59:08.656000+00:00,9899,12,1269,9
2025-09-20T08:59:08.656000+00:00,9899,14,1269,12
2025-09-20T08:59:08.656000+00:00,9899,22,1269,7
2025-09-20T08:59:08.656000+00:00,9899,23,1269,5
2025-09-20T08:59:08.656000+00:00,9899,27,1269,10
2025-09-20T08:59:08.656000+00:00,9899,30,1269,8
2025-09-20T08:59:08.656000+00:00,9899,55,1269,14
2025-09-20T08:59:08.656000+00:00,9899,81,1269,13
2025-09-20T08:59:08.656000+00:00,9899,87,1269,11
2025-09-20T08:59:17.801000+00:00,9899,10,1269,17
2025-09-20T08:59:17.801000+00:00,9899,18,1269,18
2025-09-20T08:59:17.801000+00:00,9899,31,1269,15
2025-09-20T08:59:17.801000+00:00,9899,43,1269,19
2025-09-20T08:59:17.801000+00:00,9899,63,1269,16
2025-09-20T08:59:31.855000+00:00,9899,10,1269,18
2025-09-20T08:59:31.855000+00:00,9899,14,1269,13
2025-09-20T08:59:31.855000+00:00,9899,18,1269,12
2025-09-20T08:59:31.855000+00:00,9899,31,1269,16
2025-09-20T08:59:31.855000+00:00,9899,55,1269,15
2025-09-20T08:59:31.855000+00:00,9899,63,1269,17
2025-09-20T08:59:31.855000+00:00,9899,81,1269,14
2025-09-20T08:59:49.932000+00:00,9899,1,1269,4
2025-09-20T08:59:49.932000+00:00,9899,4,1269,7
2025-09-20T08:59:49.932000+00:00,9899,6,1269,5
2025-09-20T08:59:49.932000+00:00,9899,12,1269,10
