date,session_key,driver_number,position,meeting_key
2025-09-20T12:03:21.521000+00:00,9900,18,12,1269
2025-09-20T12:03:33.148000+00:00,9900,4,14,1269
2025-09-20T12:03:33.148000+00:00,9900,1,15,1269
2025-09-20T12:03:33.148000+00:00,9900,81,16,1269
2025-09-20T12:03:33.148000+00:00,9900,44,17,1269
2025-09-20T12:03:33.148000+00:00,9900,12,18,1269
2025-09-20T12:03:33.148000+00:00,9900,63,19,1269
2025-09-20T12:03:33.148000+00:00,9900,16,20,1269
2025-09-20T12:03:33.148000+00:00,9900,22,9,1269
2025-09-20T12:03:33.148000+00:00,9900,31,10,1269
2025-09-20T12:03:33.148000+00:00,9900,5,11,1269
2025-09-20T12:03:33.148000+00:00,9900,10,12,1269
2025-09-20T12:03:33.148000+00:00,9900,18,13,1269
2025-09-20T12:03:47.965000+00:00,9900,87,3,1269
2025-09-20T12:03:47.965000+00:00,9900,30,4,1269
2025-09-20T12:03:47.965000+00:00,9900,6,5,1269
2025-09-20T12:03:47.965000+00:00,9900,27,2,1269
2025-09-20T12:03:52.464000+00:00,9900,87,4,1269
2025-09-20T12:03:52.464000+00:00,9900,30,5,1269
2025-09-20T12:03:52.464000+00:00,9900,6,6,1269
2025-09-20T12:03:52.464000+00:00,9900,27,3,1269
2025-09-20T12:03:52.464000+00:00,9900,55,7,1269
2025-09-20T12:03:52.464000+00:00,9900,14,8,1269
2025-09-20T12:03:52.464000+00:00,9900,43,9,1269
2025-09-20T12:03:52.464000+00:00,9900,22,10,1269
2025-09-20T12:03:52.464000+00:00,9900,31,11,1269
2025-09-20T12:03:52.464000+00:00,9900,5,2,1269
2025-09-20T12:03:56.393000+00:00,9900,4,15,1269
2025-09-20T12:03:56.393000+00:00,9900,1,16,1269
2025-09-20T12:03:56.393000+00:00,9900,81,17,1269
2025-09-20T12:03:56.393000+00:00,9900,44,18,1269
2025-09-20T12:03:56.393000+00:00,9900,12,19,1269
2025-09-20T12:03:56.393000+00:00,9900,63,20,1269
2025-09-20T12:03:56.393000+00:00,9900,16,6,1269
2025-09-20T12:03:56.393000+00:00,9900,6,7,1269
2025-09-20T12:03:56.393000+00:00,9900,55,8,1269
2025-09-20T12:03:56.393000+00:00,9900,14,9,1269
2025-09-20T12:03:56.393000+00:00,9900,43,10,1269
2025-09-20T12:03:56.393000+00:00,9900,22,11,1269
2025-09-20T12:03:56.393000+00:00,9900,31,12,1269
2025-09-20T12:03:56.393000+00:00,9900,10,13,1269
2025-09-20T12:03:56.393000+00:00,9900,18,14,1269
2025-09-20T12:03:58.193000+00:00,9900,23,2,1269
2025-09-20T12:03:58.193000+00:00,9900,87,1,1269
2025-09-20T12:03:58.193000+00:00,9900,27,4,1269
2025-09-20T12:03:58.193000+00:00,9900,5,3,1269
2025-09-20T12:04:01.213000+00:00,9900,4,16,1269
2025-09-20T12:04:01.213000+00:00,9900,1,17,1269
2025-09-20T12:04:01.213000+00:00,9900,81,18,1269
2025-09-20T12:04:01.213000+00:00,9900,44,5,1269
2025-09-20T12:04:01.213000+00:00,9900,30,6,1269
2025-09-20T12:04:01.213000+00:00,9900,16,7,1269
2025-09-20T12:04:01.213000+00:00,9900,6,8,1269
2025-09-20T12:04:01.213000+00:00,9900,55,9,1269
2025-09-20T12:04:01.213000+00:00,9900,14,10,1269
2025-09-20T12:04:01.213000+00:00,9900,43,11,1269
2025-09-20T12:04:01.213000+00:00,9900,22,12,1269
2025-09-20T12:04:01.213000+00:00,9900,31,13,1269
2025-09-20T12:04:01.213000+00:00,9900,10,14,1269
2025-09-20T12:04:01.213000+00:00,9900,18,15,1269
2025-09-20T12:04:06.338000+00:00,9900,44,6,1269
2025-09-20T12:04:06.338000+00:00,9900,23,3,1269
2025-09-20T12:04:06.338000+00:00,9900,30,7,1269
2025-09-20T12:04:06.338000+00:00,9900,16,8,1269
2025-09-20T12:04:06.338000+00:00,9900,6,9,1269
2025-09-20T12:04:06.338000+00:00,9900,27,5,1269
2025-09-20T12:04:06.338000+00:00,9900,55,10,1269
2025-09-20T12:04:06.338000+00:00,9900,14,11,1269
2025-09-20T12:04:06.338000+00:00,9900,43,12,1269
2025-09-20T12:04:06.338000+00:00,9900,22,13,1269
2025-09-20T12:04:06.338000+00:00,9900,31,2,1269
