date,session_key,meeting_key,position,driver_number
2025-11-08T18:08:12.086000+00:00,9865,1273,7,10
2025-11-08T18:08:12.086000+00:00,9865,1273,8,6
2025-11-08T18:08:12.086000+00:00,9865,1273,9,30
2025-11-08T18:08:12.086000+00:00,9865,1273,10,18
2025-11-08T18:08:12.086000+00:00,9865,1273,3,43
2025-11-08T18:08:18.788000+00:00,9865,1273,5,81
2025-11-08T18:08:18.788000+00:00,9865,1273,6,27
2025-11-08T18:08:18.788000+00:00,9865,1273,7,14
2025-11-08T18:08:18.788000+00:00,9865,1273,3,10
2025-11-08T18:08:18.788000+00:00,9865,1273,4,43
2025-11-08T18:08:20.201000+00:00,9865,1273,14,4
2025-11-08T18:08:20.201000+00:00,9865,1273,15,55
2025-11-08T18:08:20.201000+00:00,9865,1273,16,23
2025-11-08T18:08:20.201000+00:00,9865,1273,17,1
2025-11-08T18:08:20.201000+00:00,9865,1273,11,16
2025-11-08T18:08:20.201000+00:00,9865,1273,12,44
2025-11-08T18:08:20.201000+00:00,9865,1273,13,22
2025-11-08T18:08:25.915000+00:00,9865,1273,6,81
2025-11-08T18:08:25.915000+00:00,9865,1273,7,27
2025-11-08T18:08:25.915000+00:00,9865,1273,8,14
2025-11-08T18:08:25.915000+00:00,9865,1273,4,10
2025-11-08T18:08:25.915000+00:00,9865,1273,9,6
2025-11-08T18:08:25.915000+00:00,9865,1273,1,30
2025-11-08T18:08:25.915000+00:00,9865,1273,3,31
2025-11-08T18:08:25.915000+00:00,9865,1273,2,87
2025-11-08T18:08:25.915000+00:00,9865,1273,5,43
2025-11-08T18:08:27.445000+00:00,9865,1273,6,4
2025-11-08T18:08:27.445000+00:00,9865,1273,7,81
2025-11-08T18:08:27.445000+00:00,9865,1273,8,27
2025-11-08T18:08:27.445000+00:00,9865,1273,9,14
2025-11-08T18:08:27.445000+00:00,9865,1273,10,6
2025-11-08T18:08:27.445000+00:00,9865,1273,11,18
2025-11-08T18:08:27.445000+00:00,9865,1273,12,16
2025-11-08T18:08:27.445000+00:00,9865,1273,13,44
2025-11-08T18:08:27.445000+00:00,9865,1273,14,22
2025-11-08T18:08:33.361000+00:00,9865,1273,16,55
2025-11-08T18:08:33.361000+00:00,9865,1273,11,23
2025-11-08T18:08:33.361000+00:00,9865,1273,12,18
2025-11-08T18:08:33.361000+00:00,9865,1273,13,16
2025-11-08T18:08:33.361000+00:00,9865,1273,14,44
2025-11-08T18:08:33.361000+00:00,9865,1273,15,22
2025-11-08T18:08:36.213000+00:00,9865,1273,7,4
2025-11-08T18:08:36.213000+00:00,9865,1273,5,81
2025-11-08T18:08:36.213000+00:00,9865,1273,6,43
2025-11-08T18:08:42.251000+00:00,9865,1273,10,55
2025-11-08T18:08:42.251000+00:00,9865,1273,11,6
2025-11-08T18:08:42.251000+00:00,9865,1273,12,23
2025-11-08T18:08:42.251000+00:00,9865,1273,13,18
2025-11-08T18:08:42.251000+00:00,9865,1273,14,16
2025-11-08T18:08:42.251000+00:00,9865,1273,15,44
2025-11-08T18:08:42.251000+00:00,9865,1273,16,22
2025-11-08T18:08:47.136000+00:00,9865,1273,8,4
2025-11-08T18:08:47.136000+00:00,9865,1273,6,81
2025-11-08T18:08:47.136000+00:00,9865,1273,9,27
2025-11-08T18:08:47.136000+00:00,9865,1273,4,14
2025-11-08T18:08:47.136000+00:00,9865,1273,5,10
2025-11-08T18:08:47.136000+00:00,9865,1273,7,43
2025-11-08T18:08:50.356000+00:00,9865,1273,14,1
2025-11-08T18:08:50.356000+00:00,9865,1273,15,16
2025-11-08T18:08:50.356000+00:00,9865,1273,16,44
2025-11-08T18:08:50.356000+00:00,9865,1273,17,22
2025-11-08T18:09:06.586000+00:00,9865,1273,9,4
2025-11-08T18:09:06.586000+00:00,9865,1273,7,81
2025-11-08T18:09:06.586000+00:00,9865,1273,10,27
2025-11-08T18:09:06.586000+00:00,9865,1273,6,10
2025-11-08T18:09:06.586000+00:00,9865,1273,11,55
2025-11-08T18:09:06.586000+00:00,9865,1273,5,6
2025-11-08T18:09:06.586000+00:00,9865,1273,8,43
2025-11-08T18:09:16.930000+00:00,9865,1273,10,4
2025-11-08T18:09:16.930000+00:00,9865,1273,8,81
2025-11-08T18:09:16.930000+00:00,9865,1273,11,27
2025-11-08T18:09:16.930000+00:00,9865,1273,12,55
2025-11-08T18:09:16.930000+00:00,9865,1273,13,23
2025-11-08T18:09:16.930000+00:00,9865,1273,14,18
2025-11-08T18:09:16.930000+00:00,9865,1273,9,43
2025-11-08T18:09:16.930000+00:00,9865,1273,15,1
2025-11-08T18:09:16.930000+00:00,9865,1273,16,16
2025-11-08T18:09:16.930000+00:00,9865,1273,17,44
2025-11-08T18:09:16.930000+00:00,9865,1273,7,22
2025-11-08T18:09:20.745000+00:00,9865,1273,11,4
2025-11-08T18:09:20.745000+00:00,9865,1273,9,81
2025-11-08T18:09:20.745000+00:00,9865,1273,12,27
2025-11-08T18:09:20.745000+00:00,9865,1273,5,14
2025-11-08T18:09:20.745000+00:00,9865,1273,7,10
2025-11-08T18:09:20.745000+00:00,9865,1273,13,55
2025-11-08T18:09:20.745000+00:00,9865,1273,6,6
2025-11-08T18:09:20.745000+00:00,9865,1273,14,23
2025-11-08T18:09:20.745000+00:00,9865,1273,4,18
2025-11-08T18:09:20.745000+00:00,9865,1273,10,43
2025-11-08T18:09:20.745000+00:00,9865,1273,8,22
2025-11-08T18:09:23.998000+00:00,9865,1273,12,4
2025-11-08T18:09:23.998000+00:00,9865,1273,13,27
2025-11-08T18:09:23.998000+00:00,9865,1273,14,55
2025-11-08T18:09:23.998000+00:00,9865,1273,15,23
2025-11-08T18:09:23.998000+00:00,9865,1273,16,1
2025-11-08T18:09:23.998000+00:00,9865,1273,17,16
2025-11-08T18:09:23.998000+00:00,9865,1273,11,44
2025-11-08T18:09:31.063000+00:00,9865,1273,13,4
2025-11-08T18:09:31.063000+00:00,9865,1273,10,81
2025-11-08T18:09:31.063000+00:00,9865,1273,14,27
2025-11-08T18:09:31.063000+00:00,9865,1273,6,14
2025-11-08T18:09:31.063000+00:00,9865,1273,8,10
2025-11-08T18:09:31.063000+00:00,9865,1273,15,55
2025-11-08T18:09:31.063000+00:00,9865,1273,7,6
2025-11-08T18:09:31.063000+00:00,9865,1273,16,23
2025-11-08T18:09:31.063000+00:00,9865,1273,4,31
2025-11-08T18:09:31.063000+00:00,9865,1273,5,18
2025-11-08T18:09:31.063000+00:00,9865,1273,11,43
2025-11-08T18:09:31.063000+00:00,9865,1273,17,1
2025-11-08T18:09:31.063000+00:00,9865,1273,3,16
2025-11-08T18:09:31.063000+00:00,9865,1273,12,44
2025-11-08T18:09:31.063000+00:00,9865,1273,9,22
2025-11-08T18:09:37.739000+00:00,9865,1273,1,4
2025-11-08T18:09:37.739000+00:00,9865,1273,11,81
2025-11-08T18:09:37.739000+00:00,9865,1273,7,14
2025-11-08T18:09:37.739000+00:00,9865,1273,9,10
2025-11-08T18:09:37.739000+00:00,9865,1273,8,6
2025-11-08T18:09:37.739000+00:00,9865,1273,2,30
2025-11-08T18:09:37.739000+00:00,9865,1273,5,31
2025-11-08T18:09:37.739000+00:00,9865,1273,3,87
2025-11-08T18:09:37.739000+00:00,9865,1273,6,18
2025-11-08T18:09:37.739000+00:00,9865,1273,12,43
2025-11-08T18:09:37.739000+00:00,9865,1273,4,16
2025-11-08T18:09:37.739000+00:00,9865,1273,13,44
2025-11-08T18:09:37.739000+00:00,9865,1273,10,22
2025-11-08T18:09:44.179000+00:00,9865,1273,12,81
2025-11-08T18:09:44.179000+00:00,9865,1273,15,27
2025-11-08T18:09:44.179000+00:00,9865,1273,8,14
2025-11-08T18:09:44.179000+00:00,9865,1273,10,10
2025-11-08T18:09:44.179000+00:00,9865,1273,16,55
2025-11-08T18:09:44.179000+00:00,9865,1273,9,6
2025-11-08T18:09:44.179000+00:00,9865,1273,4,23
2025-11-08T18:09:44.179000+00:00,9865,1273,6,31
2025-11-08T18:09:44.179000+00:00,9865,1273,7,18
2025-11-08T18:09:44.179000+00:00,9865,1273,13,43
2025-11-08T18:09:44.179000+00:00,9865,1273,5,16
2025-11-08T18:09:44.179000+00:00,9865,1273,14,44
2025-11-08T18:09:44.179000+00:00,9865,1273,11,22
2025-11-08T18:09:53.495000+00:00,9865,1273,13,81
2025-11-08T18:09:53.495000+00:00,9865,1273,16,27
2025-11-08T18:09:53.495000+00:00,9865,1273,11,10
2025-11-08T18:09:53.495000+00:00,9865,1273,10,55
2025-11-08T18:09:53.495000+00:00,9865,1273,14,43
2025-11-08T18:09:53.495000+00:00,9865,1273,15,44
2025-11-08T18:09:53.495000+00:00,9865,1273,12,22
2025-11-08T18:10:01.058000+00:00,9865,1273,14,81
2025-11-08T18:10:01.058000+00:00,9865,1273,17,27
2025-11-08T18:10:01.058000+00:00,9865,1273,9,14
2025-11-08T18:10:01.058000+00:00,9865,1273,12,10
2025-11-08T18:10:01.058000+00:00,9865,1273,11,55
2025-11-08T18:10:01.058000+00:00,9865,1273,10,6
2025-11-08T18:10:01.058000+00:00,9865,1273,5,23
2025-11-08T18:10:01.058000+00:00,9865,1273,7,31
2025-11-08T18:10:01.058000+00:00,9865,1273,8,18
2025-11-08T18:10:01.058000+00:00,9865,1273,15,43
2025-11-08T18:10:01.058000+00:00,9865,1273,4,1
2025-11-08T18:10:01.058000+00:00,9865,1273,6,16
